Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDR39,OUT027,4487.273596887449
FDP12,OUT027,3474.480656312158
DRF60,OUT027,5192.505733347002
FDC09,OUT035,2088.996049140726
FDF50,OUT018,2747.137812279751
FDG28,OUT035,2680.2338161333955
NCE19,OUT017,1775.1285102962227
NCM53,OUT010,642.111168608742
NCN18,OUT049,1740.4500561160019
FDF32,OUT035,2681.308771975984
FDF11,OUT013,3509.121901013104
DRI59,OUT049,2410.8952110264468
NCG54,OUT035,2681.308771975984
FDM44,OUT046,1740.4500561160019
FDT57,OUT018,3180.1740619589787
FDV24,OUT046,2234.4781730347104
FDI50,OUT019,649.9129956959587
FDS09,OUT035,1775.1285102962227
NCC31,OUT027,4487.273596887449
FDQ07,OUT019,649.9129956959587
FDC22,OUT017,2679.520928465894
FDZ56,OUT046,2234.4781730347104
FDZ40,OUT019,564.1009287350441
FDS46,OUT027,3931.7640664152914
DRD24,OUT045,2679.520928465894
FDV45,OUT017,2679.520928465894
FDL26,OUT045,2679.520928465894
FDA56,OUT018,2433.3433283630943
FDN27,OUT046,1740.4500561160019
FDM20,OUT049,2410.8952110264468
FDO16,OUT017,2088.996049140726
FDL03,OUT035,2681.308771975984
FDE58,OUT046,1740.4500561160019
FDI02,OUT027,3931.7640664152914
NCC55,OUT019,564.1009287350441
FDR03,OUT018,3180.1740619589787
FDB14,OUT017,2088.996049140726
FDR45,OUT013,3509.121901013104
NCN07,OUT017,2088.996049140726
FDM51,OUT019,545.0128443446342
FDT52,OUT027,5192.505733347002
FDL26,OUT046,2234.4781730347104
NCZ42,OUT046,2400.7006894382034
DRI47,OUT019,587.7341248749699
FDW40,OUT013,2961.81754427035
FDN34,OUT046,2234.4781730347104
FDS01,OUT035,2681.308771975984
NCG55,OUT045,2088.996049140726
FDC11,OUT035,2088.996049140726
FDX35,OUT018,3180.1740619589787
NCB06,OUT046,2234.4781730347104
FDR09,OUT019,649.9129956959587
FDC53,OUT017,2088.996049140726
FDY45,OUT013,3509.121901013104
FDA22,OUT010,670.1202947777384
FDE02,OUT035,2088.996049140726
FDW21,OUT045,2088.996049140726
FDV34,OUT046,1399.5213450943893
FDS59,OUT049,1740.4500561160019
NCW17,OUT017,2088.996049140726
NCK54,OUT046,1740.4500561160019
FDG17,OUT019,649.9129956959587
FDG35,OUT017,2679.520928465894
FDD08,OUT010,666.5706329934209
NCO07,OUT017,2680.2338161333955
FDJ10,OUT010,670.1202947777384
FDW36,OUT017,2088.996049140726
FDW21,OUT010,642.111168608742
FDY19,OUT017,2088.996049140726
DRE03,OUT013,2375.582718589748
NCC55,OUT049,1399.5213450943893
FDH52,OUT010,666.5706329934209
FDO09,OUT017,2680.2338161333955
FDU43,OUT045,2680.2338161333955
FDX09,OUT010,670.1202947777384
FDH40,OUT019,545.0128443446342
FDW58,OUT017,2088.996049140726
FDC47,OUT017,2680.2338161333955
NCR41,OUT035,2088.996049140726
DRG49,OUT035,2680.2338161333955
FDC52,OUT027,4487.273596887449
FDY13,OUT046,1399.5213450943893
FDY35,OUT013,2375.582718589748
FDI35,OUT017,2679.520928465894
NCU18,OUT049,2237.3309340776354
FDY33,OUT018,2747.137812279751
FDC15,OUT027,4487.273596887449
FDU01,OUT049,2237.3309340776354
NCU42,OUT046,2234.4781730347104
NCV29,OUT018,2747.137812279751
NCY30,OUT017,2679.520928465894
FDQ46,OUT049,1740.4500561160019
FDG58,OUT027,4487.273596887449
FDK33,OUT017,2680.2338161333955
NCD07,OUT045,2088.996049140726
NCX29,OUT027,4487.273596887449
NCT42,OUT013,2961.81754427035
DRN59,OUT035,1775.1285102962227
FDI44,OUT035,2088.996049140726
FDA45,OUT049,2237.3309340776354
FDP31,OUT045,1775.1285102962227
FDY01,OUT046,1740.4500561160019
FDT09,OUT018,2433.3433283630943
DRH03,OUT027,3931.7640664152914
FDA36,OUT018,2747.137812279751
NCF31,OUT017,2679.520928465894
FDG14,OUT049,2237.3309340776354
FDG28,OUT027,5192.505733347002
FDU14,OUT049,2410.8952110264468
FDY47,OUT019,545.0128443446342
FDI56,OUT049,1740.4500561160019
DRD01,OUT013,2375.582718589748
FDM22,OUT046,1399.5213450943893
FDH33,OUT013,2375.582718589748
DRZ24,OUT013,2639.4575476205328
NCQ38,OUT046,1740.4500561160019
FDO16,OUT027,3931.7640664152914
FDU07,OUT027,4487.273596887449
NCB07,OUT013,2961.81754427035
FDU48,OUT045,2088.996049140726
NCM43,OUT045,2679.520928465894
FDR31,OUT010,670.1202947777384
DRK49,OUT018,2191.127194498703
NCI30,OUT010,757.9030920946007
DRD60,OUT017,2679.520928465894
NCG19,OUT046,2400.7006894382034
FDH12,OUT035,2088.996049140726
FDM32,OUT035,2088.996049140726
FDM27,OUT035,2681.308771975984
NCU53,OUT027,4487.273596887449
NCQ18,OUT046,1740.4500561160019
FDS10,OUT013,2961.81754427035
FDB33,OUT027,4487.273596887449
FDI12,OUT013,2639.4575476205328
NCW42,OUT013,3509.121901013104
NCC06,OUT018,2433.3433283630943
FDW02,OUT017,2088.996049140726
NCD43,OUT017,2088.996049140726
FDM57,OUT018,2433.3433283630943
FDA58,OUT017,2680.2338161333955
FDK56,OUT046,2234.4781730347104
FDP52,OUT045,2680.2338161333955
FDW20,OUT018,2433.3433283630943
FDS52,OUT049,1740.4500561160019
NCT29,OUT018,2433.3433283630943
NCL54,OUT013,2961.81754427035
FDC05,OUT045,2679.520928465894
FDF34,OUT035,2681.308771975984
FDP03,OUT027,3931.7640664152914
FDD32,OUT010,642.111168608742
FDZ10,OUT045,2088.996049140726
FDZ40,OUT035,1775.1285102962227
FDD51,OUT018,2191.127194498703
NCY30,OUT019,587.7341248749699
FDP58,OUT017,2680.2338161333955
FDV49,OUT017,2680.2338161333955
FDY24,OUT019,564.1009287350441
NCO55,OUT017,2088.996049140726
FDR13,OUT017,2088.996049140726
FDS51,OUT017,1775.1285102962227
FDP26,OUT045,2088.996049140726
NCB54,OUT027,3931.7640664152914
FDF32,OUT017,2679.520928465894
FDN31,OUT018,2747.137812279751
DRM48,OUT017,1775.1285102962227
FDN20,OUT049,2237.3309340776354
DRL01,OUT046,2400.7006894382034
FDV56,OUT049,1740.4500561160019
DRH13,OUT027,3931.7640664152914
FDA03,OUT017,2679.520928465894
FDF47,OUT027,5192.505733347002
FDX32,OUT046,2234.4781730347104
FDX57,OUT049,1740.4500561160019
NCA30,OUT045,2679.520928465894
FDO49,OUT013,2375.582718589748
FDL04,OUT019,545.0128443446342
DRM48,OUT035,1775.1285102962227
FDR16,OUT013,3509.121901013104
NCC19,OUT018,2747.137812279751
NCE42,OUT045,2680.2338161333955
FDY24,OUT017,1775.1285102962227
FDH19,OUT049,2237.3309340776354
FDJ46,OUT013,2961.81754427035
FDN45,OUT010,757.9030920946007
FDY08,OUT035,2088.996049140726
FDZ37,OUT035,2088.996049140726
NCT30,OUT045,1775.1285102962227
DRY23,OUT018,2191.127194498703
NCZ30,OUT018,2433.3433283630943
FDC44,OUT018,2433.3433283630943
FDB45,OUT035,2088.996049140726
FDY04,OUT013,2961.81754427035
FDM27,OUT046,2234.4781730347104
FDZ43,OUT017,2680.2338161333955
FDT39,OUT019,587.7341248749699
NCC06,OUT019,545.0128443446342
FDL15,OUT027,4487.273596887449
FDL57,OUT017,2680.2338161333955
FDU08,OUT046,1740.4500561160019
FDK40,OUT017,2680.2338161333955
FDQ12,OUT010,757.9030920946007
FDS48,OUT017,2679.520928465894
FDP09,OUT045,2680.2338161333955
FDW21,OUT049,1740.4500561160019
FDY25,OUT035,2681.308771975984
DRE13,OUT017,2088.996049140726
FDV43,OUT019,564.1009287350441
FDD22,OUT045,2088.996049140726
FDM46,OUT019,545.0128443446342
NCO30,OUT010,670.1202947777384
FDM25,OUT046,2234.4781730347104
NCN41,OUT049,1740.4500561160019
FDU24,OUT045,2088.996049140726
FDZ50,OUT046,2234.4781730347104
FDP45,OUT013,3509.121901013104
NCM54,OUT045,2088.996049140726
FDW10,OUT019,587.7341248749699
FDP20,OUT017,2088.996049140726
FDK32,OUT046,2234.4781730347104
FDN52,OUT049,1740.4500561160019
FDM58,OUT045,2088.996049140726
FDZ46,OUT027,3931.7640664152914
NCA18,OUT018,2433.3433283630943
FDD35,OUT046,1740.4500561160019
NCK31,OUT035,1775.1285102962227
FDI40,OUT027,3931.7640664152914
FDT50,OUT019,545.0128443446342
NCT06,OUT046,2234.4781730347104
FDT31,OUT035,2681.308771975984
FDT45,OUT049,1399.5213450943893
FDT13,OUT045,2679.520928465894
FDO50,OUT045,2088.996049140726
NCU18,OUT010,670.1202947777384
NCR54,OUT049,2237.3309340776354
NCO18,OUT018,2747.137812279751
FDU09,OUT045,1775.1285102962227
FDT13,OUT018,2747.137812279751
FDE09,OUT046,1740.4500561160019
NCK53,OUT019,545.0128443446342
FDG45,OUT049,2410.8952110264468
DRH15,OUT035,1775.1285102962227
FDO21,OUT019,649.9129956959587
FDD14,OUT027,4487.273596887449
FDC09,OUT046,1740.4500561160019
FDH45,OUT027,3474.480656312158
FDV32,OUT046,1399.5213450943893
FDG12,OUT035,2088.996049140726
FDS32,OUT013,2961.81754427035
NCL55,OUT018,3180.1740619589787
DRE01,OUT035,2680.2338161333955
DRE15,OUT049,1740.4500561160019
NCL42,OUT045,2680.2338161333955
FDP31,OUT013,2375.582718589748
FDN33,OUT018,2433.3433283630943
FDZ59,OUT046,2234.4781730347104
FDE45,OUT010,670.1202947777384
FDJ07,OUT013,2639.4575476205328
FDQ45,OUT018,2747.137812279751
FDM33,OUT027,5192.505733347002
FDO15,OUT010,642.111168608742
FDM46,OUT013,2639.4575476205328
FDR03,OUT045,2680.2338161333955
FDY49,OUT018,2747.137812279751
FDQ60,OUT045,2088.996049140726
FDW10,OUT049,2237.3309340776354
FDO51,OUT049,1399.5213450943893
FDJ40,OUT018,2433.3433283630943
FDS20,OUT018,2747.137812279751
FDU45,OUT013,2639.4575476205328
FDV02,OUT035,2681.308771975984
FDN09,OUT046,2400.7006894382034
NCM55,OUT027,4487.273596887449
FDN23,OUT018,2747.137812279751
FDY31,OUT010,670.1202947777384
FDW03,OUT010,642.111168608742
FDD14,OUT046,2234.4781730347104
FDV23,OUT017,2088.996049140726
DRI03,OUT045,2679.520928465894
FDN13,OUT035,2088.996049140726
FDF45,OUT027,3474.480656312158
FDU46,OUT035,2088.996049140726
FDB57,OUT049,2410.8952110264468
FDV12,OUT049,1740.4500561160019
FDQ58,OUT013,2961.81754427035
NCA18,OUT017,2088.996049140726
FDH52,OUT049,1399.5213450943893
FDM24,OUT018,2747.137812279751
NCP43,OUT027,4487.273596887449
NCO18,OUT019,587.7341248749699
FDM32,OUT017,2088.996049140726
NCL07,OUT017,1775.1285102962227
FDK03,OUT013,3509.121901013104
FDP59,OUT017,2088.996049140726
FDQ24,OUT049,2410.8952110264468
FDQ16,OUT018,2433.3433283630943
FDU44,OUT013,2961.81754427035
FDH28,OUT010,666.5706329934209
FDV28,OUT019,564.1009287350441
FDM22,OUT045,1775.1285102962227
FDR56,OUT046,2234.4781730347104
FDV39,OUT049,2237.3309340776354
FDU37,OUT019,545.0128443446342
FDQ11,OUT010,757.9030920946007
FDX02,OUT045,2680.2338161333955
NCS42,OUT018,2433.3433283630943
FDY57,OUT027,3931.7640664152914
FDB21,OUT049,2410.8952110264468
FDE28,OUT017,2680.2338161333955
FDQ55,OUT017,2088.996049140726
FDA48,OUT049,2410.8952110264468
FDZ19,OUT045,2679.520928465894
NCC43,OUT045,2680.2338161333955
NCV18,OUT046,1740.4500561160019
NCA42,OUT018,2747.137812279751
FDY45,OUT046,2400.7006894382034
NCC30,OUT045,2679.520928465894
FDM57,OUT013,2639.4575476205328
FDL09,OUT010,670.1202947777384
FDB09,OUT027,3931.7640664152914
FDT44,OUT035,2088.996049140726
NCT06,OUT027,4487.273596887449
FDX26,OUT049,2237.3309340776354
FDK32,OUT013,2961.81754427035
DRA12,OUT046,2234.4781730347104
FDO46,OUT010,670.1202947777384
FDE52,OUT013,2639.4575476205328
NCH42,OUT045,2680.2338161333955
FDV08,OUT035,1775.1285102962227
FDB47,OUT018,3180.1740619589787
FDC28,OUT010,642.111168608742
FDD22,OUT046,1740.4500561160019
FDS07,OUT027,3931.7640664152914
DRI13,OUT045,2680.2338161333955
FDG32,OUT018,3180.1740619589787
FDU14,OUT017,2680.2338161333955
FDD28,OUT019,564.1009287350441
NCP41,OUT017,2088.996049140726
FDS08,OUT049,2237.3309340776354
FDX47,OUT045,2679.520928465894
FDC53,OUT019,545.0128443446342
FDQ19,OUT035,2680.2338161333955
FDL14,OUT045,2679.520928465894
FDM33,OUT019,649.9129956959587
FDA51,OUT045,2088.996049140726
FDZ27,OUT018,2191.127194498703
FDT04,OUT046,1399.5213450943893
DRC13,OUT049,1740.4500561160019
FDR16,OUT027,5192.505733347002
FDQ03,OUT027,5192.505733347002
FDE38,OUT035,2681.308771975984
DRH23,OUT027,3474.480656312158
FDT11,OUT019,587.7341248749699
FDD09,OUT035,2681.308771975984
FDR40,OUT045,2088.996049140726
FDX07,OUT017,2679.520928465894
FDR07,OUT035,2088.996049140726
FDA51,OUT017,2088.996049140726
FDT59,OUT019,649.9129956959587
FDF20,OUT017,2679.520928465894
FDR13,OUT045,2088.996049140726
FDY26,OUT049,2410.8952110264468
FDW04,OUT017,2088.996049140726
FDK52,OUT017,2680.2338161333955
FDN60,OUT049,2237.3309340776354
FDM09,OUT019,587.7341248749699
FDP46,OUT049,1740.4500561160019
FDB50,OUT019,545.0128443446342
NCQ29,OUT049,2410.8952110264468
FDP16,OUT027,5192.505733347002
FDX33,OUT018,2747.137812279751
FDP07,OUT010,670.1202947777384
FDN22,OUT046,2400.7006894382034
FDF39,OUT049,2410.8952110264468
FDS21,OUT017,1775.1285102962227
NCM42,OUT013,2639.4575476205328
FDK50,OUT019,587.7341248749699
DRF13,OUT027,4487.273596887449
FDH35,OUT018,2747.137812279751
FDP60,OUT018,2433.3433283630943
DRJ49,OUT027,3931.7640664152914
NCT42,OUT019,587.7341248749699
FDE38,OUT049,2237.3309340776354
FDI04,OUT049,2237.3309340776354
NCH54,OUT045,2679.520928465894
FDT56,OUT049,1399.5213450943893
DRD15,OUT018,3180.1740619589787
FDV58,OUT013,2961.81754427035
FDP21,OUT049,2237.3309340776354
FDH05,OUT013,3509.121901013104
FDR10,OUT027,4487.273596887449
NCP06,OUT045,2679.520928465894
FDF33,OUT049,1740.4500561160019
DRK37,OUT013,2961.81754427035
DRH49,OUT045,2088.996049140726
FDT58,OUT013,2961.81754427035
FDD41,OUT018,2433.3433283630943
FDP40,OUT018,2433.3433283630943
FDM51,OUT027,3931.7640664152914
FDO45,OUT010,642.111168608742
FDW33,OUT010,642.111168608742
FDY24,OUT045,1775.1285102962227
FDB10,OUT010,757.9030920946007
FDM40,OUT035,2681.308771975984
NCI06,OUT017,2679.520928465894
FDW12,OUT019,587.7341248749699
FDX48,OUT027,4487.273596887449
NCW05,OUT027,3931.7640664152914
FDX27,OUT017,2088.996049140726
DRM37,OUT045,2679.520928465894
FDA38,OUT045,2680.2338161333955
FDR36,OUT046,1399.5213450943893
FDZ45,OUT046,2234.4781730347104
FDG05,OUT017,2679.520928465894
FDK28,OUT013,3509.121901013104
FDV47,OUT045,2088.996049140726
FDN21,OUT045,2679.520928465894
FDP20,OUT027,3931.7640664152914
FDI35,OUT045,2679.520928465894
DRY23,OUT013,2375.582718589748
FDA56,OUT017,2088.996049140726
FDB09,OUT013,2639.4575476205328
NCO26,OUT027,3931.7640664152914
FDQ49,OUT018,2747.137812279751
FDI52,OUT027,3931.7640664152914
FDZ44,OUT027,3931.7640664152914
FDZ09,OUT018,2747.137812279751
FDY03,OUT049,1740.4500561160019
NCG42,OUT017,2088.996049140726
DRI13,OUT027,5192.505733347002
FDQ32,OUT013,2639.4575476205328
FDW16,OUT035,2088.996049140726
FDU27,OUT046,1399.5213450943893
FDR28,OUT010,670.1202947777384
FDQ49,OUT010,670.1202947777384
FDS37,OUT046,1740.4500561160019
FDW26,OUT018,3180.1740619589787
FDX12,OUT018,3180.1740619589787
NCP06,OUT013,2961.81754427035
FDW45,OUT010,670.1202947777384
NCN30,OUT049,1740.4500561160019
FDN24,OUT049,1399.5213450943893
NCL41,OUT027,3474.480656312158
FDR02,OUT019,545.0128443446342
FDD09,OUT010,670.1202947777384
FDS33,OUT010,642.111168608742
FDU22,OUT045,2088.996049140726
FDI53,OUT013,2961.81754427035
DRH01,OUT049,2237.3309340776354
FDX32,OUT013,2961.81754427035
NCP30,OUT018,2191.127194498703
FDB60,OUT045,2679.520928465894
FDB14,OUT049,1740.4500561160019
NCP02,OUT035,1775.1285102962227
FDJ10,OUT017,2679.520928465894
FDG34,OUT046,1740.4500561160019
NCB18,OUT017,2088.996049140726
FDM16,OUT049,1399.5213450943893
FDW25,OUT018,2433.3433283630943
FDB35,OUT010,642.111168608742
DRN11,OUT013,2961.81754427035
FDF41,OUT019,649.9129956959587
FDH16,OUT045,2088.996049140726
NCQ50,OUT018,3180.1740619589787
DRH23,OUT018,2191.127194498703
DRJ37,OUT013,2961.81754427035
DRJ24,OUT027,4487.273596887449
FDY16,OUT035,2681.308771975984
FDQ27,OUT045,2088.996049140726
FDZ33,OUT045,2679.520928465894
FDF29,OUT045,2088.996049140726
FDA08,OUT049,2237.3309340776354
FDG31,OUT046,1399.5213450943893
FDE34,OUT019,587.7341248749699
NCR30,OUT027,3474.480656312158
FDV33,OUT035,2680.2338161333955
DRZ24,OUT018,2433.3433283630943
NCL54,OUT035,2681.308771975984
FDR12,OUT049,2237.3309340776354
NCC54,OUT046,2400.7006894382034
DRN59,OUT013,2375.582718589748
FDX50,OUT019,545.0128443446342
FDV31,OUT027,4487.273596887449
NCA29,OUT027,4487.273596887449
FDW60,OUT049,2237.3309340776354
FDX08,OUT017,2679.520928465894
DRD49,OUT013,3509.121901013104
FDD33,OUT046,2400.7006894382034
FDW35,OUT013,2375.582718589748
FDJ36,OUT017,2088.996049140726
FDV51,OUT035,2681.308771975984
FDW36,OUT046,1740.4500561160019
FDH35,OUT046,2234.4781730347104
NCS30,OUT027,3931.7640664152914
FDN49,OUT017,1775.1285102962227
FDL08,OUT018,3180.1740619589787
FDI09,OUT013,3509.121901013104
FDP19,OUT018,2433.3433283630943
FDU21,OUT010,666.5706329934209
NCP41,OUT045,2088.996049140726
FDY10,OUT013,2639.4575476205328
FDP12,OUT018,2191.127194498703
NCN26,OUT049,1740.4500561160019
FDK44,OUT013,2961.81754427035
FDC28,OUT049,1740.4500561160019
FDJ41,OUT027,5192.505733347002
NCT29,OUT035,2088.996049140726
NCH42,OUT019,649.9129956959587
FDU60,OUT018,2747.137812279751
FDS02,OUT045,2679.520928465894
FDC51,OUT046,1740.4500561160019
FDU03,OUT013,2961.81754427035
FDX39,OUT045,2680.2338161333955
NCY05,OUT010,666.5706329934209
NCL06,OUT027,5192.505733347002
FDD32,OUT035,2088.996049140726
NCN41,OUT045,2088.996049140726
NCX53,OUT049,2237.3309340776354
FDU57,OUT019,587.7341248749699
FDQ23,OUT046,1740.4500561160019
FDQ52,OUT045,2680.2338161333955
FDC14,OUT045,1775.1285102962227
FDY09,OUT035,2681.308771975984
FDQ28,OUT045,2679.520928465894
FDV25,OUT046,2400.7006894382034
FDJ07,OUT035,2088.996049140726
DRB25,OUT049,1740.4500561160019
FDK52,OUT019,649.9129956959587
FDY52,OUT027,3474.480656312158
FDB28,OUT046,2234.4781730347104
FDT36,OUT035,1775.1285102962227
FDV25,OUT017,2680.2338161333955
NCN07,OUT027,3931.7640664152914
FDC57,OUT017,2679.520928465894
FDQ03,OUT018,3180.1740619589787
FDU23,OUT017,2679.520928465894
NCX41,OUT035,2680.2338161333955
NCD06,OUT035,1775.1285102962227
FDW08,OUT045,2088.996049140726
NCU29,OUT017,2679.520928465894
NCE06,OUT013,2961.81754427035
FDV52,OUT010,642.111168608742
FDB02,OUT017,2679.520928465894
NCR18,OUT045,1775.1285102962227
FDK16,OUT049,1740.4500561160019
NCQ29,OUT010,757.9030920946007
FDZ01,OUT019,545.0128443446342
FDW27,OUT035,2681.308771975984
FDD17,OUT018,3180.1740619589787
FDW39,OUT013,2961.81754427035
DRH59,OUT045,1775.1285102962227
FDS52,OUT013,2639.4575476205328
FDU40,OUT027,4487.273596887449
NCF54,OUT013,2961.81754427035
FDH46,OUT045,2088.996049140726
NCP14,OUT049,1740.4500561160019
FDH50,OUT049,2237.3309340776354
DRF15,OUT010,670.1202947777384
FDV27,OUT027,3931.7640664152914
NCJ06,OUT049,1740.4500561160019
FDN02,OUT018,3180.1740619589787
FDQ51,OUT049,1399.5213450943893
FDQ07,OUT017,2680.2338161333955
FDS45,OUT049,1740.4500561160019
NCJ06,OUT045,2088.996049140726
FDD36,OUT035,2088.996049140726
FDY25,OUT045,2679.520928465894
FDU52,OUT046,2234.4781730347104
DRK47,OUT017,2680.2338161333955
NCL30,OUT017,2088.996049140726
FDN22,OUT035,2680.2338161333955
NCF30,OUT027,3931.7640664152914
FDK03,OUT035,2680.2338161333955
FDT45,OUT017,1775.1285102962227
NCC54,OUT027,5192.505733347002
FDP08,OUT018,2747.137812279751
FDU44,OUT046,2234.4781730347104
